date,"Net productivity output per hour","Total compensation per hour"
1971-10-01,202.581009164812,184.92945990512376
1972-01-01,204.66025749907465,189.5699665352947
1972-04-01,209.24365657487152,191.64949337545872
1972-07-01,211.0232819392856,193.1461601011996
1972-10-01,213.65867891654335,193.87383152944616
1973-01-01,214.76447521157107,193.77264093525477
1973-04-01,213.82283009731157,192.07861704076333
1973-07-01,211.3774737283335,191.6482879632356
1973-10-01,211.77879879622208,189.9254510791364
1974-01-01,207.31254984878785,188.10403963592972
1974-04-01,207.7754718063076,187.6416858262864
1974-07-01,205.96942958318013,187.49238243876604
1974-10-01,207.0288212516816,186.58957663565025
1975-01-01,209.25746705082577,186.92760163323584
1975-04-01,212.2094119255145,187.50054146908576
1975-07-01,214.29584496637665,186.88687942211567
1975-10-01,214.72790341581253,186.64455787481455
1976-01-01,216.5565892695321,187.3208081611035
1976-04-01,218.0937992616932,188.7438335665768
1976-07-01,218.1013118792231,189.92894628285092
1976-10-01,218.61159441911505,190.70871983549125
1977-01-01,219.37090572161023,191.47459540262213
1977-04-01,218.6278050943799,191.75761730917716
1977-07-01,221.08987602162804,193.09565020945644
1977-10-01,220.30105282072591,193.49936306688969
1978-01-01,219.5406311651872,195.029283671864
1978-04-01,222.6683323030251,194.977198386702
1978-07-01,222.51115926252825,194.84911164825812
1978-10-01,224.011276229592,195.4189403726312
1979-01-01,221.6777704103864,195.1042854165065
1979-04-01,220.6687592351934,192.9830021013356
1979-07-01,218.9276433180707,192.22752845540532
1979-10-01,216.84015731925336,190.6720692069789
1980-01-01,215.70885888187115,188.28956999384496
1980-04-01,212.90641668472,188.21208922715033
1980-07-01,212.7709729769029,187.85907928728713
1980-10-01,214.72856753213264,187.66090602479576
1981-01-01,217.90607101070245,186.76090295344488
1981-04-01,216.7967519183407,187.2873835849363
1981-07-01,219.1845329569947,187.15843291518365
1981-10-01,215.97209887805352,186.47213766872216
1982-01-01,215.423991954277,187.28990555915328
1982-04-01,215.13366011967983,187.82676763220263
1982-07-01,214.88395982132224,187.50458173669304
1982-10-01,215.91991204398843,187.0556525499712
1983-01-01,218.7328121419368,189.19027707471216
1983-04-01,221.69224073153825,188.9380174733149
1983-07-01,223.03100327409072,188.57931164352172
1983-10-01,225.20384573761953,188.48257230819848
1984-01-01,225.46312525736937,188.00384087366655
1984-04-01,226.92609853001704,187.66149504526172
1984-07-01,228.207897327458,187.5895711918782
1984-10-01,228.6937224712449,187.41685325457385
1985-01-01,229.90879028472847,187.22252914511824
1985-04-01,229.94741869065413,187.2940136829749
1985-07-01,232.54412226067208,187.55286632784163
1985-10-01,232.2874222144532,187.21384294483667
1986-01-01,234.16722638706244,187.4254758582616
1986-04-01,237.11226579596897,189.402386419845
1986-07-01,237.8994680676077,189.3638248525526
1986-10-01,236.6873046962792,189.3001173885567
1987-01-01,234.47149545846025,187.83314778774317
1987-04-01,235.1652073574567,187.00238508170935
1987-07-01,235.05098951747425,186.36260332407352
1987-10-01,236.98906666851863,186.39506516297345
1988-01-01,237.6358183771784,186.31950028211955
1988-04-01,237.98856688194587,186.3576348970204
1988-07-01,239.00122703464297,186.07086098966775
1988-10-01,239.55991074224153,186.65370503493972
1989-01-01,239.70454297468584,186.8010426705035
1989-04-01,239.82172360516216,186.0319821786984
1989-07-01,240.79706047982904,186.60261757887776
1989-10-01,240.3722443567117,187.13907519986688
1990-01-01,241.56893626356936,186.7645221625519
1990-04-01,243.5011851434079,186.581204567138
1990-07-01,241.74027308244217,184.8744149725112
1990-10-01,237.72308252897636,183.81432258852368
1991-01-01,238.907250539041,184.51972685177736
1991-04-01,242.68454891960184,185.68122987187735
1991-07-01,244.2991663002823,186.2282946991284
1991-10-01,245.13534122053107,186.37570371889367
1992-01-01,248.97811062391173,186.65825313387316
